행정구역명,임야면적_2017,임야면적_2025,임야면적_변화율,농경지면적_2017,농경지면적_2025,농경지면적_변화율,대지면적_2017,대지면적_2025,대지면적_변화율,공장용지면적_2017,공장용지면적_2025,공장용지면적_변화율
괴산군,622999108,620159799,-0.46,133869169,131753138,-1.58,12382855,14080666,13.71,3179572,3838482,20.72
단양군,641386145,640079070,-0.2,73829919,72379146,-1.97,6398287,7083518,10.71,2220228,2306385,3.88
보은군,399338385,398248707,-0.27,110547287,109209172,-1.21,8970565,9720004,8.35,1939768,2224834,14.7
영동군,652670874,651350487,-0.2,104473775,102124251,-2.25,9890041,10664330,7.83,1417428,2097030,47.95
옥천군,346160928,344334686,-0.53,99764181,97311151,-2.46,10173479,11367953,11.74,2508364,2911437,16.07
음성군,270174307,262565513,-2.82,136052132,129671627,-4.69,15522290,17790947,14.62,20093514,25240613,25.62
제천시,644959873,640213625,-0.74,109641962,106671877,-2.71,15345719,17386194,13.3,3546557,4351133,22.69
증평군,39975891,39641067,-0.84,22954206,22139700,-3.55,4301767,4635846,7.77,1906426,2123424,11.38
진천군,229389485,225244176,-1.81,92949810,89858502,-3.33,11011235,12387448,12.5,12257369,14846806,21.13
청주 상당구,270039767,267003437,-1.12,68546933,65380185,-4.62,13031006,14844498,13.92,791534,959634,21.24
청주 서원구,60254470,59145779,-1.84,27194317,25931469,-4.64,10588041,11733302,10.82,2562610,3149033,22.88
청주 청원구,75217720,71666135,-4.72,67339345,63991868,-4.97,13385701,15133082,13.05,7019644,9409628,34.05
청주 흥덕구,69743663,66537054,-4.6,59896472,54764025,-8.57,14972968,18242335,21.84,10545006,12953147,22.84
충주시,615928192,610603457,-0.86,158278028,153846169,-2.8,25396480,28019805,10.33,10031765,11802125,17.65
