행정구역명,군집분류,임야면적_비율,농경지면적_비율,대지면적_비율,공장용지면적_비율
증평군,균형형,57.84,32.3,6.76,3.1
청주 서원구,균형형,59.17,25.94,11.74,3.15
괴산군,농업/산림형,80.56,17.11,1.83,0.5
단양군,농업/산림형,88.67,10.03,0.98,0.32
보은군,농업/산림형,76.67,21.03,1.87,0.43
영동군,농업/산림형,85.01,13.33,1.39,0.27
옥천군,농업/산림형,75.52,21.34,2.49,0.64
제천시,농업/산림형,83.29,13.88,2.26,0.57
청주 상당구,농업/산림형,76.68,18.78,4.26,0.28
충주시,농업/산림형,75.92,19.13,3.48,1.47
음성군,도시/산업형,60.32,29.79,4.09,5.8
진천군,도시/산업형,65.8,26.25,3.62,4.34
청주 청원구,도시/산업형,44.74,39.94,9.45,5.87
청주 흥덕구,도시/산업형,43.63,35.91,11.96,8.49
