연도,행정구역명,PCA1,PCA2
2017,괴산군,13.01299887198271,-0.8109807253988102
2017,단양군,23.45240457804571,1.2191852091700461
2017,보은군,7.67832904861163,-2.2191355921294758
2017,영동군,18.580290591086516,0.2673422121253779
2017,옥천군,6.3076862376947815,-1.8814809878999021
2017,음성군,-10.967336590011435,-3.0391823830879936
2017,제천시,16.84971330489146,0.8012825702227317
2017,증평군,-15.22221074041532,-1.7996822235125123
2017,진천군,-4.438661472899938,-2.111105440869256
2017,청주 상당구,8.248117625846433,0.37362670604077053
2017,청주 서원구,-10.985951027688714,4.756329676897192
2017,청주 청원구,-29.630186430660515,-2.577157030787866
2017,청주 흥덕구,-29.75794974134496,0.5653795169964582
2017,충주시,7.704017820112838,0.06158294835185529
2018,괴산군,13.008825338684105,-0.7732371186805018
2018,단양군,23.454193814379728,1.2405287021250118
2018,보은군,7.685372741724663,-2.191752031725276
2018,영동군,18.578908925634565,0.33578873562625944
2018,옥천군,6.322257475364793,-1.8338180548110117
2018,음성군,-11.11593923333227,-2.9170610285799654
2018,제천시,16.818075291769716,0.8383718468178465
2018,증평군,-15.198806573298263,-1.7032922370644563
2018,진천군,-4.539132722421591,-2.02496593538001
2018,청주 상당구,8.205802832238042,0.4429686851292054
2018,청주 서원구,-10.92757452227243,4.999544414227216
2018,청주 청원구,-29.951580477834717,-2.3099699228319537
2018,청주 흥덕구,-30.01012953840454,0.8370305414359436
2018,충주시,7.690135209215512,0.11737088212446523
2019,괴산군,13.01586903179713,-0.7458535582763055
2019,단양군,23.43073503255706,1.2464619644844106
2019,보은군,7.680658730870611,-2.175899442995295
2019,영동군,18.582914623635034,0.3423763281088483
2019,옥천군,6.339269636110892,-1.816247015687562
2019,음성군,-11.215070169339157,-2.7789060431496253
2019,제천시,16.819156215250146,0.8821555209853855
2019,증평군,-15.176539955773134,-1.679681130491769
2019,진천군,-4.587747967664733,-1.981879898641722
2019,청주 상당구,8.196915288085393,0.49656488057749826
2019,청주 서원구,-11.214188191481668,5.014943251257769
2019,청주 청원구,-29.961141374585736,-2.2103673850953562
2019,청주 흥덕구,-30.01563738721258,2.060900834447029
2019,충주시,7.711266288554597,0.19952156333707194
2020,괴산군,13.04637150673284,-0.7244032602315009
2020,단양군,23.435989489336087,1.2525020319336448
2020,보은군,7.684180577427114,-2.162207662793193
2020,영동군,18.58118201341253,0.3500280408617158
2020,옥천군,6.342791482667408,-1.8025552354854604
2020,음성군,-11.222990010603894,-2.739518223140351
2020,제천시,16.84965869018584,0.9036058190301901
2020,증평군,-15.165974416103591,-1.638605789885471
2020,진천군,-4.603195353486441,-1.9627714513171384
2020,청주 상당구,8.186946820452306,0.5063774018582521
2020,청주 서원구,-11.206569092188467,5.087785628916915
2020,청주 청원구,-30.00325337264081,-2.161790444132084
2020,청주 흥덕구,-30.030544327109332,2.1019019379508315
2020,충주시,7.718309981667623,0.2269051237412718
2023,괴산군,13.051179052098504,-0.5563727512808399
2023,단양군,23.521534144510575,1.3332530398313907
2023,보은군,7.742892785070161,-2.007656962055858
2023,영동군,18.703732359080306,0.45772188922014223
2023,옥천군,6.447117848841131,-1.5569986474352113
2023,음성군,-11.184443132138753,-1.9684631454546064
2023,제천시,16.84458932265465,1.1340118542360536
2023,증평군,-15.048883723268883,-1.1095202591119175
2023,진천군,-4.746484454736894,-1.3680996472759155
2023,청주 상당구,8.429667206004517,1.0434907454698532
2023,청주 서원구,-11.349092206458714,6.052125909125902
2023,청주 청원구,-30.191623509939234,-1.260410347740521
2023,청주 흥덕구,-30.084807198920355,3.2745903470155007
2023,충주시,7.722465840291193,0.44637101961233583
2024,괴산군,13.009831961378012,-0.5012391476314164
2024,단양군,23.555558466002786,1.3683951180782934
2024,보은군,7.738178774216095,-1.99180437332587
2024,영동군,18.720744519826404,0.4752929283435918
2024,옥천군,6.512128496712997,-1.5075104588630168
2024,음성군,-11.243159751688381,-1.8476655889680451
2024,제천시,16.85515486232419,1.1750871948423516
2024,증평군,-14.91441423001789,-0.8905984737624593
2024,진천군,-4.75060139355449,-1.3013591966588827
2024,청주 상당구,8.547446946337232,1.1380403386595361
2024,청주 서원구,-11.25070694406132,6.319511655571592
2024,청주 청원구,-30.20770334877794,-0.7777691189333424
2024,청주 흥덕구,-30.10166919904335,3.4698976112805227
2024,충주시,7.73280691855112,0.5027823537117051
2025,괴산군,13.003385340301449,-0.477734846148568
2025,단양군,23.572570626748906,1.3859661572017465
2025,보은군,7.741700620772612,-1.9781125931237717
2025,영동군,18.75948285217268,0.4945824178605065
2025,옥천군,6.498043090262321,-1.4309574869652302
2025,음성군,-11.382053317410467,-1.7435885615143292
2025,제천시,16.865720401993734,1.2161625354486532
2025,증평군,-14.868856665968199,-0.828589430348277
2025,진천군,-4.74497429451813,-1.2290969120204274
2025,청주 상당구,8.536826791962078,1.199288246860693
2025,청주 서원구,-11.30073680360573,6.5387965092503215
2025,청주 청원구,-30.48421318450083,-0.40256662527493603
2025,청주 흥덕구,-30.042907240957106,4.335461763070569
2025,충주시,7.713536944201358,0.6204292185026112
