Region,Road_Area_Delta,Road_Area_Pct,Factory_Area_Delta,Factory_Area_Pct,House_Area_Delta,House_Area_Pct,Farm_Area_Delta,Farm_Area_Pct,Forest_Area_Delta,Forest_Area_Pct,Population_Delta,Population_Pct
청주 상당구,767001.9000000004,6.452018551484208,168100.30000000005,21.237281026462547,1813492.9000000004,13.916752858528348,-3187101.700000003,-4.601656266177299,-3036329.300000012,-1.1244007998273868,19681.0,28.2675514190509
청주 서원구,282844.7000000002,3.516138676571961,586423.6000000001,22.88384108389494,1145261.6999999993,10.816558983857346,-1236749.6999999993,-4.51670183066434,-1108690.1000000015,-1.8400130313983367,1000.0,1.1301478233352922
청주 흥덕구,1812896.0999999996,14.000994567797036,2408141.0,22.83679117868686,3269367.8000000007,21.83513515823984,-5206752.299999997,-8.575525580212874,-3206608.5,-4.59770588763025,32983.0,30.837049710636787
청주 청원구,1544951.1999999993,11.092911778840126,2389984.8000000007,34.047094126140884,1747381.0,13.05408659583835,-3382189.6000000015,-4.962488434286656,-3551585.0,-4.721739770894411,9874.0,12.20021499264824
충주시,1985907.5,5.254527154007336,1770360.4000000004,17.647546568325716,2623325.8999999985,10.32948621226248,-4777115.099999994,-2.736349861160366,-5324734.399999976,-0.8645057117307559,14317.0,15.86441504332602
제천시,1405578.0,6.098294099608533,804576.0999999996,22.686117832026937,2040475.6000000015,13.296709003989982,-2906796.0,-2.557297536303307,-4746247.299999952,-0.7358980765614161,4450.0,7.18332822160164
보은군,567436.0999999996,3.67059994448522,285066.7000000002,14.695917243711628,749439.5,8.354429180324763,-1305644.599999994,-1.1572934139835944,-1089677.199999988,-0.2728706382683418,292.0,1.7695897218350403
옥천군,1090431.6999999993,6.878682778112213,403073.7000000002,16.06918692821298,1194474.1999999993,11.74105927775542,-2314614.5,-2.243686977519184,-1826241.699999988,-0.5275701421738701,2511.0,10.781451266638042
영동군,1403124.0,7.9790985427689085,679602.5,47.94617433830854,774289.9000000004,7.8289857443462605,-1909145.200000003,-1.7100013344878082,-1320386.1000000238,-0.2023050441806637,-564.0,-2.3371456986573844
증평군,268238.7999999998,7.018412163488076,216998.6000000001,11.38248219443084,334079.5,7.766099372653144,-795642.6999999993,-3.4185896848690036,-334823.5,-0.8375635705030314,2425.0,14.526177069605847
진천군,1344176.8999999985,8.653734084117637,2589437.6999999993,21.125558837300236,1376213.8000000007,12.498269267707036,-3268428.799999997,-3.4480124241287524,-4145308.400000006,-1.8071048025588472,10087.0,30.661438385312177
괴산군,777083.3000000007,3.8084742750682277,658910.3999999999,20.723241996092554,1697811.9000000004,13.710989105501117,-1924845.300000012,-1.4095581464348317,-2839308.399999976,-0.45574838928982486,655.0,3.183165670408709
음성군,979290.6999999993,4.255797824520482,5147099.199999999,25.615724556690278,2268657.6999999993,14.615483282428038,-6339597.099999994,-4.391725692948207,-7608793.800000012,-2.816253656569946,5864.0,13.011160664758481
단양군,63407.40000000037,0.43703519597500595,86157.3999999999,3.8805654194073718,685231.7000000002,10.70961180703523,-1484558.700000003,-1.9813877040034635,-1307074.1000000238,-0.20378895150596432,468.0,3.1655844155844153
