연도,군집,임야면적_비율,농경지면적_비율,대지면적_비율,공장용지면적_비율,임야면적_전년대비변화,농경지면적_전년대비변화,대지면적_전년대비변화,공장용지면적_전년대비변화
2017,균형형,58.86,30.115000000000002,8.37,2.655,,,,
2017,농업/산림형,80.30375000000001,17.16,2.06625,0.4675,,,,
2017,도시/산업형,54.6575,34.4,6.140000000000001,4.8025,,,,
2018,균형형,58.85,29.975,8.475,2.705,-0.00999999999999801,-0.14000000000000057,0.10500000000000043,0.050000000000000266
2018,농업/산림형,80.285,17.1325,2.0975,0.48625,-0.01875000000001137,-0.027499999999999858,0.03125,0.01874999999999999
2018,도시/산업형,54.4225,34.3425,6.26,4.975,-0.23499999999999943,-0.05749999999999744,0.11999999999999922,0.17249999999999943
2019,균형형,58.735,30.03,8.51,2.725,-0.11500000000000199,0.054999999999999716,0.03500000000000014,0.020000000000000018
2019,농업/산림형,80.27875,17.11125,2.12,0.49,-0.006249999999994316,-0.02125000000000199,0.022499999999999964,0.0037499999999999756
2019,도시/산업형,54.2725,34.0625,6.4725,5.195,-0.14999999999999858,-0.28000000000000114,0.21250000000000036,0.22000000000000064
2020,균형형,58.724999999999994,29.98,8.54,2.755,-0.010000000000005116,-0.05000000000000071,0.02999999999999936,0.029999999999999805
2020,농업/산림형,80.2825,17.0975,2.13,0.49,0.0037499999999965894,-0.013749999999998153,0.009999999999999787,0.0
2020,도시/산업형,54.2425,34.04,6.4925,5.225,-0.030000000000001137,-0.022500000000000853,0.019999999999999574,0.02999999999999936
2023,균형형,58.519999999999996,29.465,9.035,2.985,-0.2049999999999983,-0.5150000000000006,0.495000000000001,0.22999999999999998
2023,농업/산림형,80.29125,16.90875,2.265,0.53625,0.008750000000006253,-0.18874999999999886,0.13500000000000023,0.04625000000000001
2023,도시/산업형,53.89,33.3675,6.945,5.797499999999999,-0.35249999999999915,-0.6724999999999994,0.45250000000000057,0.5724999999999998
2024,균형형,58.545,29.22,9.16,3.075,0.025000000000005684,-0.245000000000001,0.125,0.0900000000000003
2024,농업/산림형,80.3,16.8625,2.29,0.545,0.008749999999992042,-0.04625000000000057,0.02499999999999991,0.008750000000000036
2024,도시/산업형,53.81,33.2225,7.085,5.8774999999999995,-0.0799999999999983,-0.14500000000000313,0.13999999999999968,0.08000000000000007
2025,균형형,58.505,29.119999999999997,9.25,3.125,-0.03999999999999915,-0.10000000000000142,0.08999999999999986,0.04999999999999982
2025,농업/산림형,80.29,16.82875,2.32,0.56,-0.009999999999990905,-0.03375000000000128,0.029999999999999805,0.015000000000000013
2025,도시/산업형,53.6225,32.9725,7.28,6.125,-0.1875,-0.25,0.19500000000000028,0.2475000000000005
