Region,2025,2017,2018,2019,2020,2021,2022,2023,2024,Region_Land,전 면적,전 지번수,답 면적,답 지번수,과수원 면적,과수원 지번수,목장용지 면적,목장용지 지번수,임야 면적,임야 지번수,광천지 면적,광천지 지번수,대 면적,대 지번수,공장용지 면적,공장용지 지번수,학교용지 면적,학교용지 지번수,주차장 면적,주차장 지번수,주유소용지 면적,주유소용지 지번수,창고용지 면적,창고용지 지번수,도로 면적,도로 지번수,철도용지 면적,철도용지 지번수,제방 면적,제방 지번수,하천 면적,하천 지번수,구거 면적,구거 지번수,유지 면적,유지 지번수,양어장 면적,양어장 지번수,수도용지 면적,수도용지 지번수,공원 면적,공원 지번수,체육용지 면적,체육용지 지번수,유원지 면적,유원지 지번수,종교용지 면적,종교용지 지번수,사적지 면적,사적지 지번수,묘지 면적,묘지 지번수,잡종지 면적,잡종지 지번수,Total_Area,Road_Area,Road_Ratio,Residential_Area,Industrial_Area,Farmland_Area,Forest_Area,Residential_Ratio,Industrial_Ratio,Farmland_Ratio,Forest_Ratio,Pop_Change_Rate
충주시,104563,90246,93163,95648,98020,99651,100843,102143,103470,충주시,77789690.1,62564,76056479.2,57730,15956551.6,8813,3247300.7,1213,610603457.6,33540,3,1,28019805.9,55568,11802125.4,1964,2881651.2,356,385636.6,402,219770.0,240,1200107.8,1424,39780126.5,60532,1385560.2,1691,2115153.2,2775,37926040.7,8912,14397386.9,12263,32183037.7,4907,250257.0,151,707748.1,1957,1724757.4,472,4369027.9,272,647986.2,215,580321.7,584,39587.3,33,2597541.7,1264,16286447.0,8796,983153558.6000003,39780126.5,4.046176322307826,28019805.9,11802125.4,169802720.9,610603457.6,2.8499928271530535,1.2004356081267809,17.27123086873603,62.10662131656143,15.86441504332602
제천시,66399,61949,62367,63417,63945,64540,65436,66038,65881,제천시,74472509.4,55478,32199368.3,27163,4088037.3,1680,3470607.6,761,640213625.7,31474,0,0,17386194.6,36201,4351133.1,771,2187696.0,283,520921.3,593,266778.4,233,1249620.4,1646,24454286.0,36200,2492347.0,2706,1000636.8,2077,21267560.6,6573,6504305.5,4457,35428142.8,5268,28235.0,31,144046.2,57,1048792.3,224,993772.5,94,723495.4,182,498118.9,372,7891.6,12,1995878.9,907,5381285.7,3114,882375287.3,24454286.0,2.7714155588863125,17386194.6,4351133.1,110759915.0,640213625.7,1.97038548679218,0.4931159295399274,12.552472467686258,72.55570672870998,7.18332822160164
보은군,16793,16501,16600,16684,16981,17039,16959,16864,16814,보은군,51319798.9,40437,57889373.5,38746,2303988.0,1006,2015637.3,800,398248707.8,18569,0,0,9720004.5,19666,2224834.7,376,741323.8,172,67278.0,77,50553.1,71,483085.6,634,16026383.1,29066,0.0,0,1855319.6,2395,12389534.5,3419,11083664.8,7713,13132988.3,1685,42339.0,34,66711.6,42,248145.5,48,849563.5,56,128688.5,39,237961.3,210,187909.0,29,1459452.2,891,1529392.2,1249,584302638.3000001,16026383.1,2.742822306369859,9720004.5,2224834.7,111513160.4,398248707.8,1.663522267891837,0.38076752596446384,19.08482917764022,68.1579513244515,1.7695897218350403
옥천군,25801,23290,23681,24004,24437,25104,25415,25406,25368,옥천군,55115320.8,47063,42195830.9,37106,3535437.8,2045,1306945.3,727,344334686.3,22517,0,0,11367953.2,23486,2911437.7,1017,680410.1,205,186460.2,182,56134.4,73,796042.9,672,16942764.7,24836,1633164.5,2256,516348.1,891,13942624.7,3945,10246772.5,8089,26732756.7,2893,54448.9,36,50431.1,34,261069.4,69,195230.7,55,170145.0,53,247719.2,219,3697.0,8,1674510.4,1459,2239480.9,1827,537397823.3999999,16942764.7,3.152741593333369,11367953.2,2911437.7,100846589.49999999,344334686.3,2.115370160615355,0.5417658154214253,18.765723475016223,64.07444751477944,10.781451266638042
영동군,23568,24132,24370,24509,24414,23813,23794,23722,23715,영동군,50703281.1,52684,51420970.7,49688,7612434.0,4528,1954866.5,545,651350487.9,26510,0,0,10664330.9,25820,2097030.5,478,805407.3,175,131758.6,146,62735.0,85,867625.4,1186,18988118.0,38936,2663202.4,3050,713922.9,1285,24804874.7,9023,11789036.1,7922,1450046.7,824,26481.0,22,96959.1,115,441140.9,116,159832.5,29,295980.4,115,247101.1,256,30864.0,18,1631531.6,1125,6041366.9,3742,847051386.2,18988118.0,2.241672501733756,10664330.9,2097030.5,109736685.80000001,651350487.9,1.2589945632273614,0.2475682743885934,12.955139155405352,76.89621887310241,-2.3371456986573844
증평군,19119,16694,16854,17283,17697,17832,18583,18944,18961,증평군,9365914.5,8424,12773786.4,8919,338660.4,183,296085.5,172,39641067.5,3913,0,0,4635846.5,8389,2123424.6,347,480187.0,43,57967.1,60,35346.5,44,201441.0,280,4090168.8,8037,409796.4,306,198861.1,262,2176079.7,935,2245490.6,2281,762644.0,228,7985.0,5,51435.0,111,438544.8,109,119098.0,25,11638.0,1,80343.1,77,0.0,0,144686.1,125,1111021.5,728,81797519.09999996,4090168.8,5.00035801208059,4635846.5,2123424.6,22478361.299999997,39641067.5,5.667465897507888,2.595952326382966,27.48049274271939,48.462432523824575,14.526177069605847
진천군,42985,32898,35276,37213,39594,41323,42398,42751,42976,진천군,32758198.9,33034,57100304.0,37409,1664745.3,846,2332387.4,987,225244176.6,16900,0,0,12387448.8,22222,14846806.7,3271,938996.4,170,320348.2,265,98444.6,118,808065.2,645,16877088.9,33295,0.0,0,1392141.4,2109,10883724.2,3732,10744679.3,10431,6374712.5,1671,147616.3,88,108476.8,259,1975974.4,405,5728761.0,451,166447.0,58,389512.6,315,28099.1,10,932551.7,577,3133152.7,1748,407382859.99999994,16877088.9,4.142807800013972,12387448.8,14846806.7,91523248.2,225244176.6,3.0407388273527274,3.6444357771949467,22.466150932319543,55.2905383893667,30.661438385312177
괴산군,21232,20577,20899,21256,22145,21851,21347,21304,21400,괴산군,75801173.7,56824,55951964.8,42071,2878660.2,1230,3464210.8,942,620159799.6,22441,0,0,14080666.9,26845,3838482.4,737,1028932.9,209,125937.1,127,91293.6,123,693077.6,894,21181141.3,34017,0.0,0,1055217.5,2218,17982197.0,3731,13671254.7,9396,2875541.7,1194,99824.3,59,48225.9,215,462998.0,86,205467.7,80,361005.0,133,261719.9,290,34651.0,14,1541861.9,682,4322696.1,1839,842218001.6,21181141.3,2.5149238391676763,14080666.9,3838482.4,134631798.7,620159799.6,1.671855371560607,0.455758769428801,15.98538602169911,73.63411829500843,3.183165670408709
음성군,50933,45069,45571,46402,46831,47431,48292,48431,49269,음성군,58696097.0,49108,70975530.5,51045,8341987.4,4233,3526653.9,1187,262565513.2,26677,0,0,17790947.7,31059,25240613.2,6287,1153913.7,225,472916.1,266,215349.3,235,1310591.1,937,23990033.7,39579,842175.1,1217,1188050.3,1635,11187522.0,7272,11081451.2,10663,6406857.1,1788,60483.8,41,351018.3,1548,1834090.0,499,5464946.5,170,176174.0,31,478356.5,315,357.0,1,2096919.7,892,4637864.4,3185,520086412.70000005,23990033.7,4.612701488480934,17790947.7,25240613.2,138013614.9,262565513.2,3.420767638908171,4.853157587594866,26.53666997057468,50.48497841674147,13.011160664758481
단양군,15252,14784,15119,15211,15328,15072,15084,15272,15333,단양군,59979197.3,46763,12399948.8,15437,1061495.2,604,2012720.2,372,640079070.9,20784,0,0,7083518.7,17404,2306385.4,540,537656.5,167,100215.1,99,32601.5,42,277808.9,424,14571941.4,23988,1888675.6,1701,270457.9,519,20410256.0,3923,4910491.5,2452,3937682.3,989,7941.5,8,21348.6,32,213959.2,47,925206.2,94,263589.6,83,262655.0,242,4772.0,6,3017004.2,716,3386999.2,2239,779963598.7000002,14571941.4,1.8682848051226622,7083518.7,2306385.4,73440641.3,640079070.9,0.9081858065948736,0.29570423592128586,9.415906257985213,82.06524919455832,3.1655844155844153
