Cluster,Year,공장용지면적,임야면적,대지면적,농경지면적,인구수,분석토지합계,공장용지면적_비율,임야면적_비율,대지면적_비율,농경지면적_비율
균형형,2017,4469036.0,100230361.0,14889808.0,50655703.0,105178.0,170244908.0,2.625062947550831,58.87421960367825,8.746110632571753,29.754606816199164
균형형,2018,4552243.7,99860050.3,15008387.7,50237026.900000006,104532.0,169657708.60000002,2.683192963977117,58.85971885629957,8.846275140603895,29.610813039119403
균형형,2019,4604249.5,99841997.2,15120550.3,50457443.400000006,104431.0,170024240.4,2.707995924091774,58.72221335329076,8.89317327013331,29.676617452484148
균형형,2020,4662477.5,99779470.2,15166784.1,50362499.3,105101.0,169971231.1,2.743098034782664,58.70374036491873,8.923147759679903,29.6300138406187
균형형,2021,4811004.4,99493437.9,15477599.05,49993735.2,106892.5,169775776.55,2.833740182353476,58.602846602617994,9.11649433418539,29.446918880843132
균형형,2022,4959531.3,99207405.6,15788414.0,49624971.099999994,108684.0,169580322.0,2.9245912742163562,58.501720264453795,9.310286602710898,29.26340185861895
균형형,2023,5054014.0,99044050.69999999,15998577.1,49290827.400000006,107845.0,169387469.2,2.983700048102496,58.47188765956248,9.444959048954255,29.099453243380776
균형형,2024,5186171.800000001,98936709.7,16205500.6,48827269.9,106885.0,169155652.0,3.0659169461272278,58.48856277057772,9.580230047530424,28.86529023576463
균형형,2025,5272458.2,98786847.4,16369149.2,48623310.6,108603.0,169051765.4,3.118842437122517,58.43585671303495,9.682921181726979,28.76237966811555
농업/산림형,2017,25635216.0,4193483272.0,101588432.0,896614113.0,321103.0,5217321033.0,0.49134825780999625,80.37617860729407,1.947137838700063,17.18533529619587
농업/산림형,2018,26690968.2,4188846814.2,103009630.3,895349603.5,328600.0,5213897016.2,0.5119197428922935,80.34003742661035,1.9756744327695914,17.172368397727773
농업/산림형,2019,26829171.3,4186559840.0,104181063.39999999,893646034.1999999,334599.0,5211216108.9,0.514835131365588,80.33748270101415,1.9991698909218882,17.148512276698376
농업/산림형,2020,26864686.3,4186162266.4,104557628.0,892720616.5,346455.0,5210305197.200001,0.5156067693392891,80.34389748703451,2.0067467075861294,17.133749036040054
농업/산림형,2021,27726297.5,4182886792.35,106822397.1,888880059.25,351258.5,5206315546.2,0.5325512304039456,80.34255233344466,2.0517849168394684,17.073111519311933
농업/산림형,2022,28587908.7,4179611318.3,109087166.2,885039502.0,356062.0,5202325895.2,0.5495216808000637,80.34120511666481,2.096892205477762,17.01238099705738
농업/산림형,2023,29223290.8,4176786461.3999996,110503097.6,881749035.6,360512.0,5198261885.400001,0.5621742698665767,80.34967366940576,2.125770113859835,16.96238194686781
농업/산림형,2024,29613182.400000002,4174734064.6,111808622.2,879256841.4,361582.0,5195412710.599999,0.5699871030376734,80.35423357383046,2.1520643003371265,16.92371502279475
농업/산림형,2025,30491063.5,4171993273.5,113166973.6,876804291.9,362913.0,5192455602.5,0.5872185692896351,80.34721127882769,2.17944999944754,16.88612015243514
도시/산업형,2017,49915533.0,644525175.0,54892194.0,368016424.0,265859.0,1117349326.0,4.467316696622771,57.683408402575076,4.912715542283327,32.93655935851882
도시/산업형,2018,51470784.8,641206908.1,55793133.1,366859031.4,274088.0,1115329857.4,4.614848643968526,57.490338292812204,5.002388551675834,32.892424511543425
도시/산업형,2019,53195312.5,639121132.9,57284649.7,364241115.5,283093.0,1113842210.6,4.775839162294358,57.3798628582877,5.1429770891105075,32.70132089030744
도시/산업형,2020,53500754.1,638791975.5,57459969.9,363963510.70000005,294088.0,1113716210.2,4.803804919961826,57.356799663110436,5.159300850050606,32.68009456687713
도시/산업형,2021,55811155.75,635940143.9,58709507.9,360441485.5,300595.0,1110902293.05,5.02394819950993,57.24537143172296,5.28484892571534,32.44583144305177
도시/산업형,2022,58121557.4,633088312.3,59959045.9,356919460.3,307102.0,1108088375.8999999,5.245209557657629,57.1333772710863,5.411034643450771,32.2103785278053
도시/산업형,2023,59940315.5,631071848.3,61193222.300000004,354216858.5,311610.0,1106422244.6,5.417490094088804,57.037162022004416,5.5307295744151395,32.014618309491645
도시/산업형,2024,60750253.9,629287069.5,62232375.9,352409665.0,319289.0,1104679364.3,5.499356271445832,56.96558565650035,5.633523890385575,31.90153418166825
도시/산업형,2025,62450195.7,626012879.3,63553814.3,349819456.20000005,324667.0,1101836345.5,5.6678286167498735,56.81541381863955,5.767990369854794,31.74876719475579
